affiliation,ROR_Affiliation,ROR_Name
"Institute of Environmental Physics, University of Bremen, Bremen (DE)",https://ror.org/04ers2y35,University of Bremen
"Department of Biology, High Point University, High Point, NC, USA 27268  ",https://ror.org/029qx3s09,High Point University
Caltech Library,https://ror.org/05dxps055,California Institute of Technology
SLAC National Accelerator Laboratory,https://ror.org/05gzmn429,SLAC National Accelerator Laboratory
"Department of Geological Sciences, Stanford University, Stanford, California, USA",https://ror.org/00f54p054,Stanford University
"California Institute of Technology, Pasadena, CA, USA",https://ror.org/05dxps055,California Institute of Technology
"Fujitsu FIP, Minato-ku, Tokyo (JP)",https://ror.org/00bmxak18,Fukuoka Institute of Technology
['Caltech Library'],https://ror.org/05dxps055,California Institute of Technology
"Keio University, Yokohama, Japan",https://ror.org/02kn6nx58,Keio University
Marlinks,,
"University College London, Institute of Healthy Ageing and Department of Genetics, Evolution & Environment, London, U.K.",https://ror.org/02jx3x895,University College London
"School of Biological Sciences, Illinois State University, Normal, Illinois",https://ror.org/050kcr883,Illinois State University
Stanford,https://ror.org/00f54p054,Stanford University
Microsoft Research,https://ror.org/02w7f3w92,Microsoft Research (India)
"Caltech, JPL",,
"Climate and Atmosphere Research Center, The Cyprus Institute, Nicosia (CY)",https://ror.org/01q8k8p90,Cyprus Institute
"Seismological Laboratory, California Institute of Technology, Pasadena, CA(US)",https://ror.org/05dxps055,California Institute of Technology
"Caltech, Department of Computing and Mathematical Sciences",https://ror.org/05dxps055,California Institute of Technology
"Jet Propulsion Laboratory, Pasadena, CA (US)",https://ror.org/027k65916,Jet Propulsion Lab
"Lawrence Berkeley National Laboratory, Berkeley, California, USA",https://ror.org/02jbv0t02,Lawrence Berkeley National Laboratory
"GSMA, Université de Reims Champagne-Ardenne, UMR 7331-GSMA, 51687 Reims, France",https://ror.org/03hypw319,University of Reims Champagne-Ardenne
Harvard University,https://ror.org/03vek6s52,Harvard University
University of Heidelberg,https://ror.org/038t36y30,Heidelberg University
"UCAR Center for Science Education, Boulder, CO (US)",https://ror.org/04zhhyn23,University Corporation for Atmospheric Research
"Instituto Gulbenkian de Ciência, Oeiras, Portugal",https://ror.org/04b08hq31,Instituto Gulbenkian de CiÃªncia
Hokkaido University,https://ror.org/02e16g702,Hokkaido University
Caltech,https://ror.org/05dxps055,California Institute of Technology
European Bioinformatics Institute (EMBL-EBI),https://ror.org/044w3nw43,Bioinformatics Institute
"Caltech, Aerosol Dynamics Inc.",,
PNNL,https://ror.org/05h992307,Pacific Northwest National Laboratory
"Department of Cellular and Molecular Medicine, UC San Diego, La Jolla, CA",https://ror.org/0168r3w48,"University of California, San Diego"
The University of British Columbia,https://ror.org/03rmrcq20,University of British Columbia
University of Chicago,https://ror.org/024mw5h28,University of Chicago
"Owens Valley Radio Observatory, UC Berkeley",,
"National Oceanic and Atmospheric Administration, Earth System Research Laboratory",,
"Babraham Institute, Babraham Research Campus, Cambridge, UK",https://ror.org/01d5qpn59,Babraham Institute
Janelia,https://ror.org/013sk6x84,Janelia Research Campus
Loughborough University,https://ror.org/04vg4w365,Loughborough University
"Department of Bioengineering, Department of Chemistry and Biochemistry, and California NanoSystems Institute, University of California Los Angeles",,
National Center for Atmospheric Research,https://ror.org/05cvfcr44,National Center for Atmospheric Research
"University of Colorado / NOAA, Boulder, CO (US)",https://ror.org/02ttsq026,University of Colorado Boulder
n/a,,
Louisiana State University,https://ror.org/05ect4e57,Louisiana State University
"University of Trento, Italy",https://ror.org/05trd4x28,University of Trento
"National Institute for Environmental Studies (NIES), Onogawa 16-2, Tsukuba, Ibaraki 305-8506 (JP)",https://ror.org/02hw5fp67,National Institute for Environmental Studies
"Ivy Tech Community College, Indianapolis, IN (US)",https://ror.org/00mvndc02,Ivy Tech Community College of Indiana
ELSI,,
"Division of Geological and Planetary Sciences, California Institute of Technology, Pasadena, CA, USA",https://ror.org/05dxps055,California Institute of Technology
"Environment and Climate Change Canada, Downsview, ON (CA)",https://ror.org/026ny0e17,Environment and Climate Change Canada
"Nagoya University, Nagoya (JP)",https://ror.org/04chrp450,Nagoya University
"National Institute for Environmental Studies (NIES), Onogawa 16-2, Tsukuba, Ibaraki 305-8506, Japan (JP)",https://ror.org/02hw5fp67,National Institute for Environmental Studies
"Current affiliation: Molecular Pathology, International Centre for Genetic Engineering and Biotechnology, Padriciano 99, Trieste 34149, Italy",https://ror.org/043bgf219,International Centre for Genetic Engineering and Biotechnology
"Djavad Mowafaghian Centre for Brain Health, University of British Columbia, 2211 Wesbrook Mall, Vancouver, British Columbia V6T 2B5, Canada",https://ror.org/03rmrcq20,University of British Columbia
California Institute of Technology Library,https://ror.org/05dxps055,California Institute of Technology
"University of Toronto, Toronto, Ontario (Canada)",https://ror.org/03dbr7087,University of Toronto
"University of Toronto, Toronto, Canada",https://ror.org/03dbr7087,University of Toronto
"School of Environmental and Life Sciences, Faculty of Science, University of Newcastle, Newcastle, NSW (AU)",https://ror.org/00eae9z71,University of Newcastle Australia
Pasadena Public Health Department,https://ror.org/04thj7y95,"Public Health Department (Pasadena, CA)"
"University of Michigan, Ann Arbor, MI (US)",https://ror.org/00jmfr291,University of Michiganâ€“Ann Arbor
Caltech and Aerosol Dynamics Inc.,,
"Karlsruhe Institute of Technology (KIT), Institute of Meteorology and Climate Research (IMK-IFU), Garmisch-Partenkirchen (DE)",https://ror.org/04t3en479,Karlsruhe Institute of Technology
Univ. Grenoble Alpes,https://ror.org/02rx3b187,Grenoble Alpes University
"National Institute of Water and Atmospheric Research Ltd (NIWA), Lauder (NZ) ",https://ror.org/04hxcaz34,National Institute of Water and Atmospheric Research
"Institut de Physique du Globe de Paris, Observatoire magnétique de Chambon la Forêt, Cambon la Forêt (FR)",https://ror.org/004gzqz66,Institut de physique du globe de Paris
"University of Wollongong, Wollongong, Australia.",https://ror.org/00jtmb277,University of Wollongong
"Atmospheric Science Branch, NASA Ames Research Center, Moffett Field, CA (US)",https://ror.org/02acart68,Ames Research Center
" Division of Biology and Biological Engineering, California Institute of Technology",https://ror.org/05dxps055,California Institute of Technology
"AWIPEV Arctic Research Base, Ny-Ålesund, Svalbard, Norway (NO)",https://ror.org/032e6b942,Alfred Wegener Institute for Polar and Marine Research
ETH Zürich,https://ror.org/05a28rw58,ETH Zurich
NYU Medical Center,https://ror.org/005dvqh91,New York University Langone Medical Center
"Boston University, Boston, MA, USA",https://ror.org/05qwgg493,Boston University
JAX,https://ror.org/021sy4w91,Jackson Laboratory
"Department of Microbiology, University of Georgia, Athens, GA, USA 30602 ",https://ror.org/02bjhwk41,University of Georgia
UCSD,https://ror.org/0168r3w48,"University of California, San Diego"
"Instituto de Biociencias, Biotecnología y Biología Traslacional (iB3), Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Buenos Aires, Argentina",https://ror.org/0081fs513,University of Buenos Aires
Tu Darmstadt,https://ror.org/05n911h24,Technical University of Darmstadt
Rice University and Caltech,https://ror.org/05dxps055,California Institute of Technology
"'Finnish Meteorological Institute, Sodankylä (FI)",https://ror.org/05hppb561,Finnish Meteorological Institute
Icelandic Meteorological Office,https://ror.org/02hj34779,Icelandic Meteorological Office
"Bourns College of Engineering, Center for Environmental Research and Technology, Riverside, CA, USA ; Department of Chemical and Environmental Engineering, University of California, Riverside, CA, USA ",https://ror.org/03nawhv43,"University of California, Riverside"
"Wellington, New Zealand. ",,
Environment and Climate Change Canada,https://ror.org/026ny0e17,Environment and Climate Change Canada
"Institute for Geophysics, University of Texas ",https://ror.org/00hj54h04,The University of Texas at Austin
Cornell University,https://ror.org/05bnh6r87,Cornell University
Clatech,https://ror.org/05dxps055,California Institute of Technology
Lawrence Berkeley National Laboratory,https://ror.org/02jbv0t02,Lawrence Berkeley National Laboratory
"BIOTEC, Technical University Dresden",,
Seismological Laboratory,https://ror.org/05dxps055,California Institute of Technology
Vanderbilt University,https://ror.org/02vm5rt34,Vanderbilt University
JPL/Caltech,,
"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA.",,
Caltech / JPL,,
"Division of Geological and Planetary Sciences, California Institute of Technology, Pasadena, CA, USA; Division of Engineering and Applied Science, California Institute of Technology, Pasadena, CA, USA",https://ror.org/05dxps055,California Institute of Technology
UC Davis,https://ror.org/05rrcem69,"University of California, Davis"
University of Alabama,https://ror.org/03xrrjk67,University of Alabama
"Eidgenössische Technische Hochschule Zürich, Department of Health Sciences and Technology, Institute of Translational Medicine, 8603 Schwerzenbach-Zürich, Switzerland",https://ror.org/05a28rw58,ETH Zurich
National Intitutes of Health,https://ror.org/01cwqze88,National Institutes of Health
Colorado College,https://ror.org/03tg3h819,Colorado College
"Division of Geological & Planetary Sciences, California Institute of Technology ",https://ror.org/05dxps055,California Institute of Technology
"Jet Propulsion Laboratory, Pasadena, Caltech CA (US)",https://ror.org/027k65916,Jet Propulsion Lab
UCSB,https://ror.org/02t274463,"University of California, Santa Barbara"
"Institute of Space and Astronautical Science, Japan Aerospace Exploration Agency, Yoshinodai, Chuo-ku, Sagamihara, Kanagawa, Japan",,
"Molecular Biology Laboratory, Veer Bahadur Singh Purvanchal University, Jaunpur- 222003, Uttar Pradesh, India.",https://ror.org/0560jvm78,Veer Bahadur Singh Purvanchal University
"The University of Utah, Salt Lake City, UT, USA",https://ror.org/03r0ha626,University of Utah
W. M. Keck Science,https://ror.org/05sy8gb82,W.M. Keck Science Center
"School of Earth, Atmospheric, and Life Sciences, University of Wollongong (NSW 2522, Australia)",https://ror.org/00jtmb277,University of Wollongong
Los Alamos National Laboratory,https://ror.org/01e41cf67,Los Alamos National Laboratory
"Université Côte d’Azur, IRD, CNRS, Observatoire de la Côte d’Azur, Géoazur",https://ror.org/039fj2469,Observatoire de la CÃ´te dâ€™Azur
"Univ. of Alabama, Tuscaloosa, AL, USA",https://ror.org/03xrrjk67,University of Alabama
California Institute of Technology,https://ror.org/05dxps055,California Institute of Technology
" Department of Computing & Mathematical Sciences, Caltech",https://ror.org/05dxps055,California Institute of Technology
"Seismological Laboratory, Division of Geological and Planetary Sciences, California Institute of Technology",https://ror.org/05dxps055,California Institute of Technology
"Department of Astrophysical & Planetary Sciences and Laboratory for Atmospheric & Space Physics, University of Colorado",,
Alpes,https://ror.org/02rx3b187,Grenoble Alpes University
University of Alcala de Henares,https://ror.org/04pmn0e78,University of AlcalÃ¡
Jet Propulsion Laboratory,https://ror.org/027k65916,Jet Propulsion Lab
Owens Valley Radio Observatory,https://ror.org/05dxps055,California Institute of Technology
"Department of Precision Machinery and Precision Instrumentation, University of Science and Technology of China, Hefei(CN)",https://ror.org/04c4dkn09,University of Science and Technology of China
"Department of Applied Physics, California Institute of Technology and Department of Electrical Engineering, California Institute of Technology",https://ror.org/05dxps055,California Institute of Technology
National Institute for Environmental Studies,https://ror.org/02hw5fp67,National Institute for Environmental Studies
"(NIES), Onogawa 16-2, Tsukuba, Ibaraki 305-8506 (JP)",https://ror.org/02hw5fp67,National Institute for Environmental Studies
"University of Colorado, Boulder",https://ror.org/02ttsq026,University of Colorado Boulder
"Department of Physics and Astronomy, Northern Arizona University",https://ror.org/0272j5188,Northern Arizona University
"Division of Geological and Planetary Sciences, California Institute of Technology, Pasadena, California,",https://ror.org/05dxps055,California Institute of Technology
"Satellite Observation Center, National Institute for Environmental Studies (NIES), Tsukuba, Ibaraki (JP)",https://ror.org/02hw5fp67,National Institute for Environmental Studies
"Department of Earth Sciences, University of Oxford, Oxford(UK)",https://ror.org/052gg0110,University of Oxford
"Department of Biological Sciences, Seoul National University, Seoul, Korea",https://ror.org/04h9pn542,Seoul National University
"Division of Biology and Biological Engineering, California Institute of Technology",https://ror.org/05dxps055,California Institute of Technology
Brown,https://ror.org/05gq02987,Brown University
"Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China",,
"Caltech, HHMI",,
Franklin & Marshall College,https://ror.org/04fp4ps48,Franklin & Marshall College
"University of Toronto, ON (CA)",https://ror.org/03dbr7087,University of Toronto
Arizona State University,https://ror.org/03efmqc40,Arizona State University
"Mills College, Oakland, CA USA",https://ror.org/01ynb8e46,Mills College
"European Bioinformatics Institute (EBI), Hinxton, UK",https://ror.org/02catss52,European Bioinformatics Institute
Johns Hopkins University,https://ror.org/00za53h95,Johns Hopkins University
University of Cambridge,https://ror.org/013meh722,University of Cambridge
"Department of Molecular Biosciences, Northwestern University, Evanston, IL, USA",https://ror.org/000e0be47,Northwestern University
"Global Monitoring Division, NOAA Earth System Research Laboratory",https://ror.org/033tt8e33,Earth System Research Laboratory
University of Texas; Caltech,https://ror.org/05dxps055,California Institute of Technology
Aerosol Dynamics Inc.,https://ror.org/047mw6m75,
Northrop Grumann,https://ror.org/05kewds18,Northrop Grumman (United States)
"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA (US)",,
"University of Toronto, Toronto (CA)",https://ror.org/03dbr7087,University of Toronto
Leibniz Institute of Plant Genetics and Crop Plant Research (IPK),https://ror.org/02skbsp27,Leibniz Institute of Plant Genetics and Crop Plant Research
"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK",https://ror.org/02catss52,European Bioinformatics Institute
"Rikubetsu Integrated Stratospheric Observation Center, National Institute for Environmental Studies (NIES), Rikubetsu, Hokkaido (JP)",https://ror.org/02hw5fp67,National Institute for Environmental Studies
"Fujitsu Japan, Tokyo (JP)",https://ror.org/038e2g226,Fujitsu (Japan)
"National Institute for Environmental Studies (NIES), Tsukuba (JP)",https://ror.org/02hw5fp67,National Institute for Environmental Studies
The Aerospace Corporation,https://ror.org/01ar9e455,The Aerospace Corporation
"California Institute of Technology, Pasadena, CA, USA.",https://ror.org/05dxps055,California Institute of Technology
"Department of Experimental and Health Sciences, Universitat Pompeu Fabra, 08003 Barcelona, Spain",https://ror.org/04n0g0b29,Pompeu Fabra University
"The University of Alabama, Tuscaloosa, AL 35487",https://ror.org/03xrrjk67,University of Alabama
National Institute of Child Health and Human Development,https://ror.org/04byxyr05,Eunice Kennedy Shriver National Institute of Child Health and Human Development
"Department of Microbiology, University of Georgia, Athens, GA, USA 30602",https://ror.org/02bjhwk41,University of Georgia
"Department of Genetics, Stanford University, Palo Alto, CA 94305",https://ror.org/00f54p054,Stanford University
Institut de Recherche en Astrophysique et Planétologie,https://ror.org/05hm2ja81,Research Institute in Astrophysics and Planetology
Kyushu University,https://ror.org/00p4k0j84,Kyushu University
DeSales University,https://ror.org/02gag4781,DeSales University
"National Institute of Meteorological Sciences, Seogwipo-si (KR)",https://ror.org/04m2hj141,National Institute of Meteorological Sciences
"National Astronomical Research Institute of Thailand, Chiang Mai (TH)",https://ror.org/027rw9342,National Astronomical Research Institute of Thailand
"China University of Geoscience, Beijing",https://ror.org/04gcegc37,China University of Geosciences
"Department of Biological Sciences, University of Illinois at Chicago",https://ror.org/02mpq6x41,University of Illinois at Chicago
"Department of Biomedical Science, Colorado State University, Fort Collins, Colorado 80523 ",https://ror.org/03k1gpj17,Colorado State University
University of Copenhagen,https://ror.org/035b05819,University of Copenhagen
University of Heildelberg,https://ror.org/038t36y30,Heidelberg University
Scripps College,https://ror.org/00p55jd14,Scripps College
"Fujitsu FIP, Tokyo (JP)",https://ror.org/038e2g226,Fujitsu (Japan)
Caltech Jet Propulsion Laboratory,https://ror.org/027k65916,Jet Propulsion Lab
