affiliation,first_affiliation,first_ROR,second_affiliation,second_ROR,third_affiliation,third_ROR,fourth_affiliation,fourth_ROR,fifth_affiliation,fifth_ROR,sixth_affiliation,sixth_ROR
"""Caltech, JPL""",California Institute of Technology,https://ror.org/05dxps055,Jet Propulsion Lab,https://ror.org/027k65916,,,,,,,,
"""Owens Valley Radio Observatory, UC Berkeley""",Owens Valley Radio Observatory,,"University of California, Berkeley",https://ror.org/01an7q238,,,,,,,,
"Caltech, Aerosol Dynamics Inc.",Caltech,https://ror.org/05dxps055,Aerosol Dynamics (United States),https://ror.org/047mw6m75,,,,,,,,
"National Oceanic and Atmospheric Administration, Earth System Research Laboratory",National Oceanic and Atmospheric Administration,https://ror.org/02z5nhe81,Earth System Research Laboratory,https://ror.org/033tt8e33,,,,,,,,
"Department of Bioengineering, Department of Chemistry and Biochemistry, and California NanoSystems Institute, University of California Los Angeles","University of California, Los Angeles",https://ror.org/046rm7j60,California NanoSystems Institute,https://ror.org/00q7fqf35,,,,,,,,
"""University of Colorado / NOAA, Boulder, CO (US)""",University of Colorado Boulder,https://ror.org/02ttsq026,National Oceanic and Atmospheric Administration,https://ror.org/02z5nhe81,,,,,,,,
Rice University and Caltech,Rice University ,https://ror.org/008zs3103,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
"BIOTEC, Technical University Dresden",National Center for Genetic Engineering and Biotechnology,https://ror.org/047aswc67,TU Dresden,https://ror.org/042aqky30,,,,,,,,
JPL/Caltech,Jet Propulsion Lab,https://ror.org/027k65916,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
Caltech / JPL,California Institute of Technology,https://ror.org/05dxps055,Jet Propulsion Lab,https://ror.org/027k65916,,,,,,,,
"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA.",JPL,https://ror.org/027k65916,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
"""Institute of Space and Astronautical Science, Japan Aerospace Exploration Agency, Yoshinodai, Chuo-ku, Sagamihara, Kanagawa, Japan""",Institute of Space and Astronautical Science,https://ror.org/034gcgw60,Japan Aerospace Exploration Agency,https://ror.org/059yhyy33,,,,,,,,
"""Department of Astrophysical & Planetary Sciences and Laboratory for Atmospheric & Space Physics, University of Colorado""",University of Colorado Boulder,https://ror.org/02ttsq026,Laboratory for Atmospheric and Space Physics,https://ror.org/01fcjzv38,,,,,,,,
"""Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, China""",Institute of Atmospheric Physics,https://ror.org/0424h4e32,Chinese Academy of Sciences,https://ror.org/034t30j35,,,,,,,,
"""Caltech, HHMI""",California Institute of Technology,https://ror.org/05dxps055,Howard Hughes Medical Institute,https://ror.org/006w34k90,,,,,,,,
"""Key Laboratory of Environmental Optics and Technology, Anhui Institute of Optics and Fine Mechanics, Chinese Academy of Sciences, Hefei(CN)""",Anhui Institute of Optics and Fine Mechanics,https://ror.org/03bzbv419,Chinese Academy of Sciences,https://ror.org/034t30j35,,,,,,,,
UCLA/Caltech,"University of California, Los Angeles",https://ror.org/046rm7j60,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
"""Caltech, ANU""",California Institute of Technology,https://ror.org/05dxps055,Australian National University,https://ror.org/019wvm592,,,,,,,,
"""Jet Propulsion Laboratory, California Institute of Technology""",Jet Propulsion Lab,https://ror.org/027k65916,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
"""Howard Hughes Medical Institute, Division of Biology and Biological Engineering, California Institute of Technology, 1200 East California Boulevard, Pasadena, CA 91125, USA.""",Howard Hughes Medical Institute,https://ror.org/006w34k90,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
"""Aix Marseille Univ, INSERM, CNRS, CIML, Turing Centre for Living Systems, Marseille, France""",Aix-Marseille University,https://ror.org/035xkbk20,Inserm,https://ror.org/02vjkv261,French National Centre for Scientific Research,https://ror.org/02feahw73,Centre d’Immunologie de Marseille-Luminy,https://ror.org/03vyjkj45,CENTURI - Turing Centre for Living Systems,N/A,,
Caltech; UC Irvine,California Institute of Technology,https://ror.org/05dxps055,"University of California, Irvine",https://ror.org/04gyf1771,,,,,,,,
"""Jet Propulstion Laboraory, Caltech""",Jet Propulsion Lab,https://ror.org/027k65916,California Institute of Technology,https://ror.org/05dxps055,,,,,,,,
